u,y
-0.470406971871853,0.00376419350504875
-0.510760545730591,-0.00425726734101772
-0.554950818419456,-0.0129953436553478
-0.59643542021513,-0.0224890094250441
-0.639383591711521,-0.0326678864657879
-0.681546464562416,-0.0432887272909284
-0.72355867177248,-0.0538436667993665
-0.765469878911972,-0.0639015538617969
-0.807828664779663,-0.0731916325166821
-0.849524736404419,-0.0815720409154892
-0.89132409542799,-0.08894560392946
-0.932876266539097,-0.0953703401610255
-0.974024534225464,-0.100838541053236
-1.01570320129395,-0.105460244230926
-1.05692929774523,-0.109255235642195
-1.09774595499039,-0.111817359924316
-1.13829997181892,-0.113086367957294
-1.17885388433933,-0.113576042465866
-1.21954687684774,-0.113778650760651
-1.26004511862993,-0.114044101908803
-1.30002480745316,-0.114785102196038
-1.33992040902376,-0.116186992265284
-1.37967002391815,-0.118382203392684
-1.41906081885099,-0.121533601544797
-1.45828019082546,-0.125640508718789
-1.49715412408113,-0.130728251300752
-1.53597600013018,-0.136815500445664
-1.57459772378206,-0.143843832425773
-1.61305067688227,-0.151628035120666
-1.65085110813379,-0.16009256336838
-1.68875008076429,-0.169162897393107
-1.72630167752504,-0.178707625716925
-1.76389071345329,-0.18856830522418
-1.80140668153763,-0.19855753146112
-1.83797021955252,-0.208606920205057
-1.87435155361891,-0.218584342859685
-1.91084387153387,-0.228350391611457
-1.94680430740118,-0.237869304604828
-1.98252907395363,-0.246984494850039
-2.01803953945637,-0.255649098195136
-2.05309337377548,-0.26380683016032
-2.08798856288195,-0.271431149914861
-2.12272472679615,-0.27845226880163
-2.15700789541006,-0.284860112704337
-2.19089835882187,-0.290670031681657
-2.22453194856644,-0.295844555832446
-2.25796746462584,-0.30043529253453
-2.29079248011112,-0.304433675482869
-2.32340889424086,-0.307948189787567
-2.35576948523521,-0.310939632356167
-2.3876400962472,-0.313453181646764
-2.41898800432682,-0.315577639266849
-2.4497688934207,-0.317287455312908
-2.48045331984758,-0.318648032844067
-2.51069974154234,-0.319659770466387
-2.54063591361046,-0.320367106236517
-2.57033911347389,-0.320818374864757
-2.59989751130342,-0.321032231673598
-2.62893258780241,-0.321036613546312
-2.65728460252285,-0.320873532444239
-2.68536577373743,-0.320572091266513
-2.71316684037447,-0.320212223567069
-2.7408711835742,-0.319762797094882
-2.76777164638042,-0.319267841055989
-2.79432405531406,-0.318803015165031
-2.8203854188323,-0.318352106027305
-2.84594039618969,-0.317941216751933
-2.87179064750671,-0.317579406313598
-2.89646080881357,-0.317298828624189
-2.92016609013081,-0.317112592048943
-2.94419738650322,-0.316982445307076
-2.96819637715816,-0.316930473782122
-2.99109549075365,-0.316973091103137
-3.01368242502213,-0.317033367231488
-3.03589291870594,-0.317170795053244
-3.05773594230413,-0.317393912933767
-3.0791429951787,-0.317673789337277
-3.09973223507404,-0.318004577420652
-3.12006299942732,-0.318373483605683
-3.1400214061141,-0.318807708099484
-3.15936460345984,-0.319291683845222
-3.17838337272406,-0.31980914529413
-3.19703825563192,-0.32037215679884
-3.21520867198706,-0.320965889841318
-3.23236599564552,-0.321589690633118
-3.24928271770477,-0.322208299301565
-3.26618453860283,-0.322799080982804
-3.28242809325457,-0.323430969379842
-3.29801395535469,-0.323977735824883
-3.31317898631096,-0.324537949636579
-3.32782496511936,-0.325093640014529
-3.34189810603857,-0.325618264265358
-3.35571712255478,-0.326133436523378
-3.36897172778845,-0.326627580448985
-3.38138099014759,-0.327149542979896
-3.39360626041889,-0.327608412131667
-3.40541458129883,-0.328087342903018
-3.41619828343391,-0.328616859391332
-3.42704151570797,-0.329040857031941
-3.43751997500658,-0.329476550221443
-3.44693060219288,-0.329939731396735
-3.45592544972897,-0.330373338423669
-3.46470490843058,-0.330812456086278
-3.47292794287205,-0.331211946904659
-3.48055332154036,-0.331624713726342
-3.48771644383669,-0.332010530866683
-3.49392992258072,-0.332368082366884
-3.49955437332392,-0.332708233036101
-3.50511231273413,-0.333037936128676
-3.51039616018534,-0.333313944749534
-3.51498948782682,-0.333543862216175
-3.51890736818314,-0.333770383149385
-3.52203572541475,-0.333914459683001
-3.52504519373178,-0.334044522605836
-3.52738870680332,-0.33411468937993
-3.52921870350838,-0.334138859994709
-3.53081379830837,-0.334132112562656
-3.53153589367867,-0.334096540696919
-3.53198179602623,-0.334037812426686
-3.53173491358757,-0.3339241463691
-3.53088677674532,-0.333804768510163
-3.52973455935717,-0.333684635348618
-3.5282503888011,-0.333531343378127
-3.52622469514608,-0.333372816443443
-3.52314503490925,-0.333244773559272
-3.51982948184013,-0.333161454647779
-3.51624815911055,-0.333070004358888
-3.51180942356587,-0.332986304536462
-3.50688152760267,-0.33300453517586
-3.50128737837076,-0.333031807094812
-3.49569972604513,-0.333094509318471
-3.48921646922827,-0.333203891292214
-3.48199724406004,-0.333320436999202
-3.47449656575918,-0.333466143347323
-3.46662179380655,-0.333616840653121
-3.45878543704748,-0.333782265894115
-3.4498717263341,-0.333982540294528
-3.44006811827421,-0.334189808927476
-3.43001029640436,-0.334406265988946
-3.41925615817308,-0.334645286202431
-3.40801052749157,-0.334837536327541
-3.39665664732456,-0.335009288974106
-3.38459261506796,-0.335198473185301
-3.37172235548496,-0.335314176045358
-3.35878276824951,-0.335413798689842
-3.34516909718513,-0.335504063405097
-3.33094894886017,-0.335538734681904
-3.31643653661013,-0.335563445463777
-3.30145748704672,-0.335579506121576
-3.28600477427244,-0.335566798225045
-3.26986448466778,-0.335585786029696
-3.25335290282965,-0.33559191506356
-3.23674382269382,-0.335589613765478
-3.21923974901438,-0.335590668953955
-3.20101451128721,-0.335613528266549
-3.18205635249615,-0.335666535422206
-3.16301590204239,-0.335734122432768
-3.14389449357986,-0.335800072178245
-3.12406531721354,-0.335885877721012
-3.10384733229876,-0.336035962216556
-3.08273215591908,-0.336144869215786
-3.0613469555974,-0.33625568728894
-3.0398047119379,-0.336341548711061
-3.01740472018719,-0.336431895382702
-2.99434681981802,-0.33646553196013
-2.97109431028366,-0.33647043351084
-2.94768993556499,-0.336456843651831
-2.92356771975756,-0.336330714635551
-2.89914619922638,-0.336191543377936
-2.87434181571007,-0.335976212285459
-2.8488597497344,-0.335750002413988
-2.8229748159647,-0.33547561429441
-2.79676233977079,-0.335136778652668
-2.7703375145793,-0.334747246466577
-2.7433815151453,-0.334370601922274
-2.71571206301451,-0.333970248699188
-2.68780127167702,-0.333578339777887
-2.65953870117664,-0.333218951709569
-2.63084446638823,-0.332886730320752
-2.60191490501165,-0.332577032968402
-2.5719333589077,-0.332294817082584
-2.54192611575127,-0.332071498036385
