u,y
-0.470509901642799,0.0166948903352022
-0.511043436825275,0.00313223898410797
-0.554910749197006,-0.0105577018111944
-0.596547439694405,-0.0240302914753556
-0.639539577066898,-0.0367887783795595
-0.681492134928703,-0.0484327003359795
-0.723680682480335,-0.0587502978742123
-0.765777327120304,-0.0678065549582243
-0.807982757687569,-0.0755937360227108
-0.849811233580112,-0.0820609349757433
-0.89162590354681,-0.0873138876631856
-0.933071829378605,-0.091510527767241
-0.974446602165699,-0.0950024221092463
-1.01590773463249,-0.0976870348677039
-1.05693987011909,-0.0995267340913415
-1.09796167165041,-0.101079221814871
-1.13873535394669,-0.102652007713914
-1.17919807881117,-0.104541379958391
-1.21959914267063,-0.107074998319149
-1.26006266474724,-0.110373609699309
-1.30014646798372,-0.11460374481976
-1.34002938121557,-0.119776957668364
-1.37999182194471,-0.125872439704835
-1.41949517279863,-0.132890487089753
-1.45859941095114,-0.140717124566436
-1.49760057032108,-0.149302805773914
-1.53637214004993,-0.158514509908855
-1.5750290080905,-0.168190306983888
-1.61330704391003,-0.178227472119033
-1.65125472843647,-0.188394460827112
-1.68893545866013,-0.198579899035394
-1.72654796391726,-0.208633100613952
-1.76412442326546,-0.218472453765571
-1.80132951587439,-0.227994705550373
-1.83805909752846,-0.237090547569096
-1.87459464371204,-0.245718187652528
-1.91104156523943,-0.253780054859817
-1.94708342850208,-0.261242904700339
-1.98318281024694,-0.268108976073563
-2.01847307384014,-0.27436266373843
-2.05338578671217,-0.279998986981809
-2.08847441524267,-0.285071450285614
-2.12280705571175,-0.289628596045077
-2.15730212628841,-0.293650179170072
-2.19144467264414,-0.297204372473061
-2.22491675615311,-0.30033970810473
-2.25831709802151,-0.303050531074405
-2.2910775244236,-0.305465693585575
-2.32348212599754,-0.307535736821592
-2.35604955255985,-0.309359986335039
-2.38810979574919,-0.310924703255296
-2.41930973529816,-0.312301802448928
-2.45023947954178,-0.313535241410136
-2.48086480796337,-0.314611040987074
-2.51128214597702,-0.315554522909224
-2.54120116680861,-0.316402590833604
-2.57088273763657,-0.317142291925848
-2.60037000477314,-0.317748300731182
-2.6291868686676,-0.318325742147863
-2.65762283653021,-0.318776692263782
-2.68561249226332,-0.319131183438003
-2.71357161551714,-0.319410697557032
-2.741091132164,-0.319624720141292
-2.76802128553391,-0.319741351529956
-2.7942947819829,-0.319780905731022
-2.82048175483942,-0.319774098694324
-2.84620490670204,-0.319670370779932
-2.87172741442919,-0.319546072743833
-2.89664071053267,-0.319388572126627
-2.92067541927099,-0.319211955182254
-2.94451528787613,-0.319047308526933
-2.96843343228102,-0.318907309323549
-2.99157446622849,-0.318831062875688
-3.01403626799583,-0.318786981515586
-3.03621472418308,-0.318792677484453
-3.05789635330439,-0.318877894431353
-3.07943620532751,-0.319025133736432
-3.10026171058416,-0.319279265590012
-3.12049647420645,-0.319564186967909
-3.14040417969227,-0.319939002394676
-3.15958843380213,-0.320417310111225
-3.17840071767569,-0.320882392115891
-3.19738751649857,-0.321461661718786
-3.21553661674261,-0.322073589079082
-3.23261994123459,-0.322715220972896
-3.249666929245,-0.323366514407098
-3.26663337647915,-0.324011322110891
-3.28285317867994,-0.32464368082583
-3.29832719266415,-0.325245474465191
-3.31358277052641,-0.325794697739184
-3.32801642268896,-0.326274372637272
-3.34208176285028,-0.326704601757228
-3.35585789382458,-0.327101116999984
-3.36908439546824,-0.327426061965525
-3.38161493092775,-0.327713890001178
-3.3938050493598,-0.328004555776715
-3.40563063323498,-0.328272408805788
-3.41667950153351,-0.328493124805391
-3.42732680588961,-0.328728070482612
-3.43773770332336,-0.328944809734821
-3.44745066761971,-0.329171001911163
-3.45650141686201,-0.329386536963284
-3.46508592367172,-0.329617097973824
-3.47299107164145,-0.32987557630986
-3.48075294494629,-0.330151895992458
-3.48791569471359,-0.330461231991649
-3.49425798654556,-0.330719764344394
-3.50009606033564,-0.331016289070249
-3.50546560436487,-0.331341370940208
-3.51086252182722,-0.331657755188644
-3.51519318670034,-0.331956574693322
-3.51904501020908,-0.332243158482015
-3.52245457470417,-0.332502802833915
-3.52525772899389,-0.332770558074117
-3.52776972204447,-0.333013069815934
-3.52959383279085,-0.333276586607099
-3.53122197836637,-0.333497150801122
-3.53216110169888,-0.333721434697509
-3.53242421150208,-0.333974289707839
-3.53230725973845,-0.334183083847165
-3.53105949610472,-0.334399184212089
-3.53004252910614,-0.334620781242847
